,day1_aBb_1.counts.txt,day1_aBb_2.counts.txt,day1_aBb_3.counts.txt,day1_aBb_4.counts.txt,day2_aBb_1.counts.txt,day2_aBb_2.counts.txt,day2_aBb_3.counts.txt,day2_aBb_4.counts.txt,day3_aBb_1.counts.txt,day3_aBb_2.counts.txt,day3_aBb_3.counts.txt,day3_aBb_4.counts.txt,day4_aBb_1.counts.txt,day4_aBb_2.counts.txt,day4_aBb_3.counts.txt,day4_aBb_4.counts.txt
BB_0098,1552.57619182383,1856.65232853327,1819.82770549575,2051.81687783479,952.181708135261,1205.17446498573,1226.37450313421,1283.69102138838,1611.66884911151,1304.29897941533,1492.35633720131,1875.75405040471,1432.89705404461,1391.25098682654,1083.38613773009,1148.69691957624
BB_0099,954.101301416192,994.717221300305,1230.26813818278,1318.53167329835,940.319874851583,907.641795405344,926.141740956127,900.430752412716,1084.74880529241,907.622318591894,1060.62301060827,1057.81763042162,1191.43004291903,1348.27798337244,1129.45797090676,1176.91465352694
BB_0100,2123.98437864519,2022.05565401508,1970.58266334747,1993.58830843014,2030.53018846964,2006.95257645798,1881.9675120711,1966.51767530136,2013.48217861603,2016.03158895861,1884.43498567262,2387.1105819249,2690.83896829164,2748.48167925193,2620.5100264425,2862.92425708102
BB_0101,1403.70932209931,1367.79361099816,1331.22011888705,1538.6159271498,1308.03670664561,1414.67312371649,1317.97093905295,1307.35618859923,1058.25561873167,1596.50112874617,1220.35875628176,1121.00585170787,1554.35351473053,1591.79166961235,1707.45005985039,1676.60369223718
BB_0102,155.633545621081,146.106270842262,193.82780295221,157.90798482615,217.826393027546,226.771154530371,197.610829343203,162.192975274342,138.353307594961,182.830395112036,174.257177098357,133.397356048744,222.670177924188,159.358221142294,305.749438354239,245.729433153976
BB_0103,1269.87950992273,1278.65959671074,1280.07111533022,1498.1520060381,1168.92975268247,1290.42258941607,1339.17381773784,1158.43879493097,1236.34870616774,1034.95062947349,1126.52796861342,1228.6598583437,822.722930122486,830.811400112634,784.617280160194,886.507141617694
BB_0104,19770.7232640191,19478.0793902102,19884.8481459236,19543.0869720464,20444.4088386596,23297.2537699716,18713.6607272866,20585.2322782353,13042.0070063718,18002.2642615673,14296.3492377777,14131.9286754446,11492.0946372821,11427.2378351699,12507.8046493864,12172.4249829814
BB_0105,3769.79032726618,4053.30038166803,3910.20671927896,4416.48895060639,3195.14654723078,3820.56463541709,3235.55928731468,3494.36395840165,2675.81184263445,3282.78504080629,2907.6373845322,2676.13818669718,2327.91549648014,2189.8326343486,2224.0130378918,2103.39691824145
BB_0106,2405.92920766888,2696.53365903533,2682.63063391497,2507.7761840203,2319.52758119926,2549.64325093607,2527.38313923925,2567.95924197703,1976.68608617056,2154.78679953471,2071.53804441605,2315.73129491636,1550.01578399175,1880.06890111695,1909.88690259634,1820.04383981988
BB_0107,817.264077730024,759.476936170626,889.723456607021,931.657110474286,831.40667833781,921.014050217946,759.911172066566,717.45860592885,657.914132924973,693.776052880495,646.762214999671,739.536219498302,592.823200966993,666.081553538577,809.74737098383,736.012560547316
BB_0108,4209.62426054315,4458.07907541656,4711.09243286622,4318.7833849952,3770.98463572934,4603.95589652201,4243.96819756819,4098.11432187839,3317.53569488342,4112.05147577874,3691.23616488154,4138.8284942492,4307.3666236114,4128.98941521494,4138.08828895875,4148.00689075229
